,Fahrzeugklasse,Fahrzeugart_Code,Fahrzeugart,Marken_Code,Marke,Marke_und_Typ,Typ1,Typ2,Typ3,Typ4,Typengenehmigungs-Nr,Typengenehmigungs-Nr_Zusatz,Karosserieform_Code,Karosserieform,Farbe,Farbe_Zusatz,Sitzplätze,Sitzplätze_vorne,Stehplätze,Leergewicht,Nutzlast,Gesamtgewicht,Gesamtzugsgewicht,Anhängelast,Dachlast,Tankinhalt_Aufbaus,Hubraum,Zylinder,Leistung,Motorkennzeichen,Treibstoff_Code,Treibstoff,CO2,Emissionscode,Energieeffizienzkategorie,Getriebe_Code,Getriebe,Getriebe_Detailcode,Antrieb_Code,Antrieb,Achsen,Erstinverkehrsetzung_Jahr,Erstinverkehrsetzung_Monat,Erstinvekehrsetzung_Kanton,Erstinverkehrsetzung_Staat,Gebrauchtcode,Ersterfassung_Jahr,Ersterfassung_Monat,Schildfarbe_Code,Schildfarbe,Schildart_Code,Schildart,Inverkehrsetzung_Status_Code,Inverkehrsetzung_Kanton,PLZ,Ort,BFS-Gemeinde-Nr,Staat_Code,Staat,Halterart_Code,Halterart,Besondere_Verwendung_Code,Besondere_Verwendung,Unnamed: 63
5705050,M1,1,Personenwagen,4017,VW,VW Transporter Typ 1,Transporter Typ 1,Transporter,Typ,1,X,,163,Limousine,Rot,,9,2,0,1110,755,1865,0,0,50,0,1285,0,29.5,,B,Benzin,,B00,,M,Mechanisch,M4,H,Hinterrad,2,1970,12,Kanton,Brasilien,A,2018.0,7.0,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5210,CH,Schweiz,1,männlich,,,
2370579,M1,1,Personenwagen,5608,JEEP,JEEP GrandCherokee CRD,GrandCherokee CRD,GrandCherokee,CRD,,1JB129,,161,Stationswagen,Weiss,,5,2,0,2522,427,2949,0,0,68,0,2987,6,184.0,VM44D,D,Diesel,198.0,B5b,F,A,Automat,A8,A,Allrad,2,2015,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6711,CH,Schweiz,1,männlich,,,
2191656,M1,1,Personenwagen,3805,HYUNDAI,HYUNDAI Santa Fe CRDI-VGT,Santa Fe CRDI-VGT,Santa,Fe,CRDI-VGT,1HB579,M,163,Limousine,Blau,Metallic,5,2,0,1872,648,2520,0,2000,100,0,1991,4,106.2,,D,Diesel,197.0,B03,G,M,Mechanisch,M5,A,Allrad,2,2005,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1403,CH,Schweiz,1,männlich,,,
787349,M1,1,Personenwagen,4012,BMW,BMW M4 Coupé,M4 Coupé,M4,Coupé,,1BF120,,163,Limousine,Orange,,4,2,0,1612,428,2040,0,0,75,0,2979,6,317.0,S55B30A,B,Benzin,194.0,B6b,G,M,Mechanisch,M7A,H,Hinterrad,2,2015,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3427,CH,Schweiz,1,männlich,,,
3591703,M1,1,Personenwagen,4050,OPEL,OPEL Astra G18 Cvan,Astra G18 Cvan,Astra,G18,Cvan,1OA612,,161,Stationswagen,Blau,,5,2,0,1278,522,1800,0,0,100,0,1796,4,85.0,,B,Benzin,214.0,B02,G,A,Automat,A4,V,Vorderrad,2,1999,9,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3762,CH,Schweiz,1,männlich,,,
4448130,O2,90,Sachentransportanhänger,9337,RUBAG,RUBAG PDK 35-12,PDK 35-12,PDK,35-12,,9RB712,,151,Kippbrücke,Grau,,0,0,0,1000,2500,3500,0,0,0,0,0,0,0,,,,,,,,,,,,2,2013,10,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2939,CH,Schweiz,3,juristisch,,,
2374447,M1,1,Personenwagen,5608,JEEP,JEEP GrandCherokee CRD,GrandCherokee CRD,GrandCherokee,CRD,,1JB252,,161,Stationswagen,Rot,,5,2,0,2522,427,2949,0,0,68,0,2987,6,184.0,63D,D,Diesel,184.0,B6b,F,A,Automat,A8,A,Allrad,2,2017,3,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,3276,CH,Schweiz,1,männlich,,,
4193747,M1,1,Personenwagen,2082,RENAULT,RENAULT Captur 1.5dCi 110,Captur 1.5dCi 110,Captur,1.5dCi,110,1RC220,,163,Limousine,Blau,Metallic,5,2,0,1265,478,1743,0,0,80,0,1461,4,81,K9KF6,D,Diesel,98.0,B6b,A,M,Mechanisch,M6,V,Vorderrad,2,2016,4,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4134,CH,Schweiz,1,männlich,,,
5232375,M1,1,Personenwagen,5688,TOYOTA,TOYOTA Sienna AWD,Sienna AWD,Sienna,AWD,,1TA552,,161,Stationswagen,Grau,Metallic,7,2,0,2200,515,2715,0,0,100,0,3456,6,198.0,2GR,B,Benzin,260.0,B5b,G,A,Automat,A6,A,Allrad,2,2014,1,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,261,CH,Schweiz,3,juristisch,,,
4354548,M1,1,Personenwagen,6912,RENAULT,Renault Megane Scenic,Megane Scenic,Megane,Scenic,,,X,163,Limousine,Grau,Metallic,5,2,0,1575,379,1954,0,0,80,0,1197,4,97.0,,B,Benzin,149.0,B5b,,M,Mechanisch,M6,V,Vorderrad,2,2015,3,Kanton,Frankreich,A,2015.0,8.0,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,2050,CH,Schweiz,1,männlich,,,
